seq,event_id,quest_send_ms,response_latency_ms,reported_latency_ms,status
39,quest_evt_000039,1777521972331.225,4.67,3.0,ok
40,quest_evt_000040,1777521972431.189,2.15,1.37,ok
41,quest_evt_000041,1777521972531.178,1.5,0.91,ok
42,quest_evt_000042,1777521972631.15,3.77,2.23,ok
43,quest_evt_000043,1777521972731.069,3.0,1.72,ok
44,quest_evt_000044,1777521972831.029,1.65,1.01,ok
45,quest_evt_000045,1777521972931.232,2.89,1.7,ok
46,quest_evt_000046,1777521973031.061,4.59,2.88,ok
47,quest_evt_000047,1777521973131.177,1.63,1.02,ok
48,quest_evt_000048,1777521973231.144,3.55,2.13,ok
49,quest_evt_000049,1777521973331.162,3.89,2.46,ok
50,quest_evt_000050,1777521973431.137,1.52,0.98,ok
51,quest_evt_000051,1777521973531.062,4.13,2.64,ok
52,quest_evt_000052,1777521973631.08,2.67,1.74,ok
53,quest_evt_000053,1777521973731.07,3.29,2.05,ok
54,quest_evt_000054,1777521973831.084,2.21,1.42,ok
55,quest_evt_000055,1777521973931.092,4.0,2.54,ok
56,quest_evt_000056,1777521974031.089,4.15,2.54,ok
57,quest_evt_000057,1777521974131.086,3.76,2.3,ok
58,quest_evt_000058,1777521974231.103,4.18,2.54,ok
59,quest_evt_000059,1777521974331.206,3.9,2.25,ok
60,quest_evt_000060,1777521974431.103,4.21,2.46,ok
61,quest_evt_000061,1777521974531.073,4.57,2.91,ok
62,quest_evt_000062,1777521974631.149,3.82,2.24,ok
63,quest_evt_000063,1777521974731.15,4.16,2.53,ok
64,quest_evt_000064,1777521974831.084,1.99,1.24,ok
65,quest_evt_000065,1777521974931.232,2.81,1.65,ok
66,quest_evt_000066,1777521975031.272,2.82,1.7,ok
67,quest_evt_000067,1777521975131.133,4.01,2.53,ok
68,quest_evt_000068,1777521975231.102,4.13,2.52,ok
69,quest_evt_000069,1777521975331.22,4.07,2.57,ok
70,quest_evt_000070,1777521975431.177,4.83,3.07,ok
71,quest_evt_000071,1777521975531.226,4.63,2.73,ok
72,quest_evt_000072,1777521975631.197,4.31,2.68,ok
73,quest_evt_000073,1777521975731.203,4.01,2.41,ok
74,quest_evt_000074,1777521975831.16,2.07,1.25,ok
75,quest_evt_000075,1777521975931.072,4.25,2.47,ok
76,quest_evt_000076,1777521976031.212,4.73,3.04,ok
77,quest_evt_000077,1777521976131.208,5.16,3.41,ok
78,quest_evt_000078,1777521976231.229,5.31,3.43,ok
79,quest_evt_000079,1777521976331.205,5.03,3.25,ok
80,quest_evt_000080,1777521976431.097,1.88,1.2,ok
81,quest_evt_000081,1777521976531.236,5.31,3.45,ok
82,quest_evt_000082,1777521976631.161,4.75,3.2,ok
83,quest_evt_000083,1777521976731.199,4.17,2.44,ok
84,quest_evt_000084,1777521976831.149,1.66,0.98,ok
85,quest_evt_000085,1777521976931.209,5.06,3.15,ok
86,quest_evt_000086,1777521977031.207,4.93,3.0,ok
87,quest_evt_000087,1777521977131.223,4.59,2.76,ok
88,quest_evt_000088,1777521977231.248,4.89,3.18,ok
89,quest_evt_000089,1777521977331.229,4.6,3.1,ok
90,quest_evt_000090,1777521977431.219,3.14,1.93,ok
91,quest_evt_000091,1777521977531.24,5.61,3.65,ok
92,quest_evt_000092,1777521977631.057,3.89,2.42,ok
93,quest_evt_000093,1777521977731.201,4.03,2.55,ok
94,quest_evt_000094,1777521977831.206,2.29,1.49,ok
95,quest_evt_000095,1777521977931.08,4.95,3.11,ok
96,quest_evt_000096,1777521978031.241,5.2,3.41,ok
97,quest_evt_000097,1777521978131.237,4.53,2.88,ok
98,quest_evt_000098,1777521978231.207,5.02,3.23,ok
99,quest_evt_000099,1777521978331.124,1.86,1.17,ok
100,quest_evt_000100,1777521978431.164,5.14,3.35,ok
101,quest_evt_000101,1777521978531.178,5.15,3.59,ok
102,quest_evt_000102,1777521978631.236,4.95,2.96,ok
103,quest_evt_000103,1777521978731.124,4.01,2.26,ok
104,quest_evt_000104,1777521978831.131,1.44,0.89,ok
105,quest_evt_000105,1777521978931.202,2.2,1.41,ok
106,quest_evt_000106,1777521979031.221,4.13,2.61,ok
107,quest_evt_000107,1777521979131.08,4.02,2.45,ok
108,quest_evt_000108,1777521979231.09,4.71,3.0,ok
109,quest_evt_000109,1777521979331.235,4.65,3.03,ok
110,quest_evt_000110,1777521979431.188,4.84,3.02,ok
111,quest_evt_000111,1777521979531.229,4.87,3.14,ok
112,quest_evt_000112,1777521979631.192,4.37,2.75,ok
113,quest_evt_000113,1777521979731.202,4.25,2.6,ok
114,quest_evt_000114,1777521979831.156,1.53,0.97,ok
115,quest_evt_000115,1777521979931.1,5.24,3.43,ok
116,quest_evt_000116,1777521980031.102,4.76,2.93,ok
117,quest_evt_000117,1777521980131.17,5.18,3.35,ok
118,quest_evt_000118,1777521980231.081,5.66,3.85,ok
119,quest_evt_000119,1777521980331.114,5.58,3.78,ok
120,quest_evt_000120,1777521980431.205,4.9,3.04,ok
121,quest_evt_000121,1777521980531.203,4.59,2.93,ok
122,quest_evt_000122,1777521980631.096,4.03,2.6,ok
123,quest_evt_000123,1777521980731.253,4.97,3.26,ok
124,quest_evt_000124,1777521980831.193,1.49,0.95,ok
125,quest_evt_000125,1777521980931.196,2.96,1.76,ok
126,quest_evt_000126,1777521981031.205,5.05,3.26,ok
127,quest_evt_000127,1777521981131.186,2.77,1.67,ok
128,quest_evt_000128,1777521981231.24,4.58,2.79,ok
129,quest_evt_000129,1777521981331.234,5.17,3.32,ok
130,quest_evt_000130,1777521981431.211,1.5,0.94,ok
131,quest_evt_000131,1777521981531.298,5.15,3.12,ok
132,quest_evt_000132,1777521981631.175,4.23,2.69,ok
133,quest_evt_000133,1777521981731.224,3.24,2.11,ok
134,quest_evt_000134,1777521981831.092,1.8,1.15,ok
135,quest_evt_000135,1777521981931.2,5.17,3.23,ok
136,quest_evt_000136,1777521982031.221,4.61,3.08,ok
137,quest_evt_000137,1777521982131.265,4.42,2.75,ok
138,quest_evt_000138,1777521982231.19,6.52,3.87,ok
139,quest_evt_000139,1777521982331.243,5.26,3.33,ok
140,quest_evt_000140,1777521982431.211,3.16,1.91,ok
141,quest_evt_000141,1777521982531.217,5.84,3.71,ok
142,quest_evt_000142,1777521982631.232,5.26,3.37,ok
143,quest_evt_000143,1777521982731.207,4.89,3.08,ok
144,quest_evt_000144,1777521982831.211,1.74,1.02,ok
145,quest_evt_000145,1777521982931.194,3.43,1.91,ok
146,quest_evt_000146,1777521983031.125,4.95,3.2,ok
147,quest_evt_000147,1777521983131.196,5.08,3.33,ok
148,quest_evt_000148,1777521983231.053,4.51,2.68,ok
149,quest_evt_000149,1777521983331.155,5.28,3.22,ok
150,quest_evt_000150,1777521983431.226,5.74,3.7,ok
151,quest_evt_000151,1777521983531.228,4.44,2.83,ok
152,quest_evt_000152,1777521983631.202,4.65,3.04,ok
153,quest_evt_000153,1777521983731.226,5.37,3.85,ok
154,quest_evt_000154,1777521983831.134,1.63,1.0,ok
155,quest_evt_000155,1777521983931.205,5.87,4.13,ok
156,quest_evt_000156,1777521984031.205,4.49,2.88,ok
157,quest_evt_000157,1777521984131.212,4.94,3.23,ok
158,quest_evt_000158,1777521984231.246,4.49,2.88,ok
159,quest_evt_000159,1777521984331.073,5.37,3.7,ok
160,quest_evt_000160,1777521984431.091,2.38,1.51,ok
161,quest_evt_000161,1777521984531.198,4.98,3.23,ok
162,quest_evt_000162,1777521984631.193,5.31,3.4,ok
163,quest_evt_000163,1777521984731.199,4.42,2.81,ok
164,quest_evt_000164,1777521984831.072,1.73,1.04,ok
165,quest_evt_000165,1777521984931.151,2.7,1.65,ok
166,quest_evt_000166,1777521985031.037,1.69,1.05,ok
167,quest_evt_000167,1777521985131.177,4.06,2.51,ok
168,quest_evt_000168,1777521985231.065,4.31,2.63,ok
169,quest_evt_000169,1777521985331.18,4.53,2.9,ok
170,quest_evt_000170,1777521985431.217,5.19,3.43,ok
171,quest_evt_000171,1777521985531.196,4.53,2.95,ok
172,quest_evt_000172,1777521985631.17,4.06,2.34,ok
173,quest_evt_000173,1777521985731.077,4.36,2.54,ok
174,quest_evt_000174,1777521985831.143,1.89,1.15,ok
175,quest_evt_000175,1777521985931.104,4.84,3.07,ok
176,quest_evt_000176,1777521986031.225,5.01,3.22,ok
177,quest_evt_000177,1777521986131.223,4.43,2.8,ok
178,quest_evt_000178,1777521986231.21,4.05,2.46,ok
179,quest_evt_000179,1777521986331.21,5.25,3.36,ok
180,quest_evt_000180,1777521986431.162,1.64,0.95,ok
181,quest_evt_000181,1777521986531.077,5.48,3.75,ok
182,quest_evt_000182,1777521986631.199,3.96,2.51,ok
183,quest_evt_000183,1777521986731.085,3.32,1.9,ok
184,quest_evt_000184,1777521986831.086,1.71,1.05,ok
185,quest_evt_000185,1777521986931.195,3.16,1.83,ok
186,quest_evt_000186,1777521987031.177,5.01,3.3,ok
187,quest_evt_000187,1777521987131.159,4.29,2.61,ok
188,quest_evt_000188,1777521987231.131,4.52,2.85,ok
189,quest_evt_000189,1777521987331.18,4.75,3.15,ok
190,quest_evt_000190,1777521987431.146,3.72,2.31,ok
191,quest_evt_000191,1777521987531.158,5.37,3.47,ok
192,quest_evt_000192,1777521987631.235,4.77,2.86,ok
193,quest_evt_000193,1777521987731.155,4.89,3.22,ok
194,quest_evt_000194,1777521987831.076,1.69,1.11,ok
195,quest_evt_000195,1777521987931.188,4.32,2.73,ok
196,quest_evt_000196,1777521988031.056,4.32,2.62,ok
197,quest_evt_000197,1777521988131.151,4.26,2.55,ok
198,quest_evt_000198,1777521988231.182,3.68,2.34,ok
199,quest_evt_000199,1777521988331.095,4.97,3.1,ok
200,quest_evt_000200,1777521988431.191,5.19,3.45,ok
201,quest_evt_000201,1777521988531.076,4.43,2.76,ok
202,quest_evt_000202,1777521988631.098,3.84,2.25,ok
203,quest_evt_000203,1777521988731.052,3.98,2.4,ok
204,quest_evt_000204,1777521988831.157,1.63,1.03,ok
205,quest_evt_000205,1777521988931.168,2.22,1.54,ok
206,quest_evt_000206,1777521989031.037,1.67,1.07,ok
207,quest_evt_000207,1777521989131.094,4.22,2.71,ok
208,quest_evt_000208,1777521989231.054,4.1,2.66,ok
209,quest_evt_000209,1777521989331.095,4.94,3.02,ok
210,quest_evt_000210,1777521989431.109,4.89,3.26,ok
211,quest_evt_000211,1777521989531.189,4.49,2.84,ok
212,quest_evt_000212,1777521989631.196,3.88,2.28,ok
213,quest_evt_000213,1777521989731.207,4.27,2.6,ok
214,quest_evt_000214,1777521989831.094,2.1,1.26,ok
215,quest_evt_000215,1777521989931.234,4.92,3.13,ok
216,quest_evt_000216,1777521990031.153,4.85,3.2,ok
217,quest_evt_000217,1777521990131.195,3.93,2.29,ok
218,quest_evt_000218,1777521990231.172,4.43,2.92,ok
219,quest_evt_000219,1777521990331.212,4.66,2.91,ok
220,quest_evt_000220,1777521990431.045,3.4,2.02,ok
221,quest_evt_000221,1777521990531.12,4.1,2.57,ok
222,quest_evt_000222,1777521990631.228,4.38,2.81,ok
223,quest_evt_000223,1777521990731.13,4.09,2.67,ok
224,quest_evt_000224,1777521990831.09,2.16,1.25,ok
225,quest_evt_000225,1777521990931.157,2.19,1.37,ok
226,quest_evt_000226,1777521991031.165,4.28,2.74,ok
227,quest_evt_000227,1777521991131.198,4.14,2.72,ok
228,quest_evt_000228,1777521991231.238,3.96,2.53,ok
229,quest_evt_000229,1777521991331.191,4.15,2.57,ok
230,quest_evt_000230,1777521991431.1,1.61,1.05,ok
231,quest_evt_000231,1777521991531.124,4.24,2.75,ok
232,quest_evt_000232,1777521991631.197,4.25,2.61,ok
233,quest_evt_000233,1777521991731.104,3.11,2.1,ok
234,quest_evt_000234,1777521991831.145,1.87,1.25,ok
235,quest_evt_000235,1777521991931.114,5.48,3.34,ok
236,quest_evt_000236,1777521992031.218,4.27,2.76,ok
237,quest_evt_000237,1777521992131.21,4.61,2.92,ok
238,quest_evt_000238,1777521992231.206,4.28,2.69,ok
239,quest_evt_000239,1777521992331.105,3.93,2.48,ok
240,quest_evt_000240,1777521992431.215,2.88,1.81,ok
241,quest_evt_000241,1777521992531.042,1.87,1.17,ok
242,quest_evt_000242,1777521992631.083,2.09,1.3,ok
243,quest_evt_000243,1777521992731.247,1.94,1.25,ok
244,quest_evt_000244,1777521992831.173,1.8,1.13,ok
245,quest_evt_000245,1777521992931.07,2.17,1.44,ok
246,quest_evt_000246,1777521993031.078,1.56,0.99,ok
247,quest_evt_000247,1777521993131.078,1.51,0.96,ok
248,quest_evt_000248,1777521993231.15,1.54,0.92,ok
249,quest_evt_000249,1777521993331.159,1.55,0.93,ok
250,quest_evt_000250,1777521993431.205,1.52,0.91,ok
251,quest_evt_000251,1777521993531.061,4.56,2.87,ok
252,quest_evt_000252,1777521993631.19,4.57,2.98,ok
253,quest_evt_000253,1777521993731.199,3.85,2.28,ok
254,quest_evt_000254,1777521993831.212,1.63,0.94,ok
255,quest_evt_000255,1777521993931.175,4.09,2.53,ok
256,quest_evt_000256,1777521994031.219,4.35,2.64,ok
257,quest_evt_000257,1777521994131.186,3.67,2.2,ok
258,quest_evt_000258,1777521994231.23,4.23,2.73,ok
259,quest_evt_000259,1777521994331.24,4.14,2.59,ok
260,quest_evt_000260,1777521994431.194,4.23,2.6,ok
261,quest_evt_000261,1777521994531.228,4.07,2.33,ok
262,quest_evt_000262,1777521994631.224,3.95,2.38,ok
263,quest_evt_000263,1777521994731.158,4.13,2.62,ok
264,quest_evt_000264,1777521994831.037,1.83,1.16,ok
265,quest_evt_000265,1777521994931.141,2.38,1.48,ok
266,quest_evt_000266,1777521995031.188,3.95,2.32,ok
267,quest_evt_000267,1777521995131.174,3.76,2.23,ok
268,quest_evt_000268,1777521995231.185,4.08,2.36,ok
269,quest_evt_000269,1777521995331.206,4.46,2.84,ok
270,quest_evt_000270,1777521995431.211,4.24,2.83,ok
271,quest_evt_000271,1777521995531.236,4.16,2.54,ok
272,quest_evt_000272,1777521995631.219,3.7,2.21,ok
273,quest_evt_000273,1777521995731.046,3.93,2.35,ok
274,quest_evt_000274,1777521995831.203,1.94,1.18,ok
275,quest_evt_000275,1777521995931.223,4.01,2.38,ok
276,quest_evt_000276,1777521996031.208,4.14,2.72,ok
277,quest_evt_000277,1777521996131.219,3.94,2.4,ok
278,quest_evt_000278,1777521996231.218,4.02,2.49,ok
279,quest_evt_000279,1777521996331.202,3.7,2.28,ok
280,quest_evt_000280,1777521996431.076,1.48,0.97,ok
281,quest_evt_000281,1777521996531.168,3.92,2.4,ok
282,quest_evt_000282,1777521996631.207,4.47,2.8,ok
283,quest_evt_000283,1777521996731.169,2.55,1.58,ok
284,quest_evt_000284,1777521996831.075,1.75,1.16,ok
285,quest_evt_000285,1777521996931.174,3.07,1.88,ok
286,quest_evt_000286,1777521997031.219,3.96,2.32,ok
287,quest_evt_000287,1777521997131.197,3.87,2.31,ok
288,quest_evt_000288,1777521997231.233,4.01,2.52,ok
289,quest_evt_000289,1777521997331.206,3.8,2.48,ok
290,quest_evt_000290,1777521997431.218,3.3,1.98,ok
291,quest_evt_000291,1777521997531.236,4.04,2.37,ok
292,quest_evt_000292,1777521997631.108,4.06,2.38,ok
293,quest_evt_000293,1777521997731.116,3.82,2.28,ok
294,quest_evt_000294,1777521997831.212,1.63,0.99,ok
295,quest_evt_000295,1777521997931.194,3.72,2.22,ok
296,quest_evt_000296,1777521998031.232,3.87,2.37,ok
297,quest_evt_000297,1777521998131.097,3.82,2.34,ok
298,quest_evt_000298,1777521998231.187,3.85,2.34,ok
299,quest_evt_000299,1777521998331.101,4.08,2.46,ok
